Marka;Nadwozie;Silnik;Kolor;Cena;Rok Zakupu;Plec Kupujacego;Wiek Kupujacego;Stan
Honda;Sedan;1.5;Zielony;480797;2017;K;49;Nebraska
Toyota;Kombi;4.0;Szary;120800;2010;K;33;Kentucky
Mercedes;Sedan;2.5;Rozowy;172613;2008;M;58;Montana
Honda;Cupe;4.0;Srebrny;193282;2019;M;51;Vermont
BMW;Cupe;3.5;Szary;455984;2020;K;49;Wisconsin
Mercedes;Cupe;4.5;Niebieski;253501;2019;K;50;Wisconsin
Chrysler;Kabriolet;4.0;Rozowy;62539;2017;K;27;Indiana
Chevrolet;Minivan;3.5;Rozowy;317870;2017;K;69;Hawaii
BMW;Hatch-back;3.0;Niebieski;104703;2013;K;20;Virginia
Mercedes;Sedan;3.5;Bialy;352749;2020;K;60;Michigan
Honda;Sedan;5.0;Niebieski;41217;2009;K;20;Connecticut
Nissan;SUV;4.0;Szary;31277;2020;M;46;Delaware
Honda;Kombi;4.5;Niebieski;407714;2018;M;62;DC
Cadilac;Pick-up;3.0;Bialy;104544;2012;K;61;Maine
Chrysler;Cupe;5.0;Niebieski;48295;2018;M;21;South Dakota
Honda;Kabriolet;4.5;Brazowy;57062;2019;M;60;Montana
Dodge;Sedan;4.0;Fioletowy;287293;2019;K;42;Vermont
Volkswagen;Kabriolet;4.5;Brazowy;179939;2013;M;66;Louisiana
BMW;SUV;1.5;Szary;135538;2014;K;67;Vermont
Volkswagen;Minivan;2.0;Rozowy;90420;2020;M;40;New Hampshire
Dodge;Pick-up;2.5;Srebrny;379640;2014;M;55;Nebraska
Nissan;Pick-up;3.5;Bialy;229703;2008;M;33;Tennessee
BMW;Pick-up;5.0;Czarny;434345;2018;M;49;Oklahoma
Mercedes;SUV;1.5;Zolty;246739;2008;K;64;Rhode Island
Mercedes;Sedan;1.5;Fioletowy;43641;2019;K;33;West Virginia
Audi;Cupe;1.5;Niebieski;465455;2009;K;67;Indiana
Cadilac;Kabriolet;4.0;Zolty;77389;2017;M;67;New Mexico
Mercedes;Sedan;1.5;Zielony;494110;2010;M;50;Wisconsin
Dodge;Hatch-back;1.5;Fioletowy;368279;2009;K;55;New Mexico
Ford;Kombi;3.5;Zielony;373653;2019;M;61;Tennessee
Audi;SUV;2.0;Czarny;207518;2012;M;52;Nebraska
Mercedes;Hatch-back;1.5;Srebrny;50906;2015;M;43;Indiana
Nissan;Cupe;3.0;Brazowy;353322;2008;M;57;Montana
Chrysler;Sedan;3.0;Niebieski;271165;2018;K;41;West Virginia
Ford;Pick-up;4.5;Zielony;374784;2016;M;42;Hawaii
Toyota;Sedan;3.0;Zolty;222580;2015;M;24;Louisiana
Cadilac;SUV;4.5;Bialy;149489;2019;K;30;Wyoming
Chrysler;Kabriolet;5.0;Zolty;126136;2018;K;54;Texas
Toyota;Pick-up;4.5;Fioletowy;443056;2012;M;33;Tennessee
Toyota;Hatch-back;2.0;Szary;401604;2018;M;25;Kentucky
Cadilac;Kombi;2.5;Szary;95959;2014;K;33;Oregon
Chevrolet;Minivan;3.0;Brazowy;484241;2012;M;70;Rhode Island
Chrysler;SUV;1.5;Zolty;352447;2019;K;44;Nevada
Ford;Kabriolet;3.5;Czerwony;333317;2013;M;65;Maine
Audi;Kabriolet;3.5;Niebieski;277025;2019;K;56;Virginia
Chrysler;Sedan;5.0;Srebrny;184610;2013;K;67;Colorado
Toyota;SUV;4.5;Szary;258528;2018;K;42;Nebraska
Mercedes;Kombi;2.5;Niebieski;416718;2018;K;31;Louisiana
Ford;Kombi;4.5;Niebieski;74437;2014;M;32;Illinois
Nissan;Cupe;2.0;Bialy;61711;2010;K;49;Idaho
Ford;Cupe;2.5;Fioletowy;69059;2017;K;32;Montana
Honda;Cupe;4.5;Zielony;135112;2017;K;45;Oklahoma
Dodge;Kabriolet;1.5;Zielony;316859;2014;M;65;Iowa
Mercedes;Sedan;4.5;Zielony;121130;2008;M;25;Wisconsin
BMW;SUV;2.5;Bialy;156910;2011;M;63;Arkansas
Ford;Pick-up;4.0;Fioletowy;324169;2020;M;33;Michigan
Chrysler;Sedan;2.0;Bialy;398143;2013;M;38;Nevada
BMW;Cupe;5.0;Zolty;320007;2020;M;28;Nevada
Nissan;Pick-up;4.5;Czarny;477620;2020;K;52;Virginia
Volkswagen;Sedan;2.5;Czerwony;421584;2020;M;57;Mississippi
Chevrolet;Kabriolet;2.0;Zielony;263884;2017;M;20;Colorado
Cadilac;Cupe;4.0;Srebrny;211513;2012;K;31;North Carolina
Chrysler;Kombi;4.0;Szary;43413;2009;K;53;Massachusetts
Chrysler;Kombi;4.0;Rozowy;84999;2012;M;39;New York
Cadilac;Hatch-back;4.5;Bialy;101204;2014;M;32;Illinois
Toyota;Kabriolet;2.0;Bialy;226023;2008;K;56;West Virginia
Volkswagen;Hatch-back;5.0;Bialy;82246;2012;K;38;South Carolina
Chevrolet;Sedan;3.0;Fioletowy;384146;2020;K;62;South Carolina
Nissan;Kabriolet;4.5;Szary;404343;2011;M;42;Rhode Island
Toyota;Hatch-back;1.5;Srebrny;465970;2018;K;54;West Virginia
Mercedes;Kabriolet;3.0;Szary;79751;2011;M;40;North Carolina
Ford;Kabriolet;4.5;Fioletowy;52684;2013;K;46;Florida
Cadilac;Kabriolet;2.5;Niebieski;197376;2012;K;35;Hawaii
Nissan;Sedan;4.0;Czerwony;54663;2018;M;58;Kentucky
BMW;Kabriolet;1.5;Czarny;451683;2015;M;50;Illinois
Volkswagen;Cupe;4.5;Bialy;81899;2011;K;64;Arkansas
Cadilac;Kabriolet;3.0;Szary;62311;2015;M;23;Texas
Chevrolet;Kombi;2.5;Fioletowy;356902;2010;M;65;Connecticut
Volkswagen;Minivan;4.0;Rozowy;236177;2011;K;68;Louisiana
Mercedes;Minivan;4.0;Czarny;498153;2018;K;46;California
Audi;SUV;2.0;Szary;88373;2016;M;50;Arkansas
Nissan;Sedan;1.5;Czerwony;453067;2010;K;52;Wisconsin
Nissan;Minivan;1.5;Czarny;377073;2015;K;37;Rhode Island
Chevrolet;Sedan;2.5;Szary;203967;2013;K;32;Minnesota
Audi;Sedan;4.5;Zolty;388937;2018;M;27;Massachusetts
Honda;SUV;3.0;Fioletowy;435268;2010;K;37;Arizona
Ford;Hatch-back;2.5;Bialy;355928;2017;M;59;California
Cadilac;Sedan;4.5;Rozowy;37985;2020;K;60;Idaho
Chrysler;SUV;4.5;Srebrny;267527;2015;K;66;New Hampshire
Chevrolet;Kombi;5.0;Brazowy;499929;2016;K;20;Virginia
Nissan;Sedan;4.5;Niebieski;150105;2011;M;20;Alaska
Cadilac;Hatch-back;5.0;Czarny;66703;2009;K;67;Maryland
Volkswagen;Pick-up;1.5;Szary;56409;2018;K;64;Florida
Toyota;Minivan;4.5;Fioletowy;474891;2019;K;45;Indiana
Dodge;Pick-up;3.0;Zielony;223518;2009;K;69;Vermont
Chrysler;SUV;4.0;Czerwony;183538;2018;K;36;Kansas
Cadilac;Sedan;1.5;Srebrny;149462;2011;K;28;Mississippi
Audi;Cupe;2.0;Niebieski;202897;2016;K;56;Washington
Nissan;Hatch-back;2.0;Szary;201360;2011;K;67;Virginia
Honda;Sedan;5.0;Bialy;145039;2017;M;33;Oregon
Dodge;Sedan;4.0;Rozowy;419621;2011;K;61;Texas
Honda;Sedan;3.5;Szary;173530;2013;K;51;Hawaii
Mercedes;SUV;1.5;Zielony;198364;2016;M;61;Maine
Toyota;Kombi;1.5;Srebrny;263104;2010;K;46;Missouri
BMW;Sedan;4.5;Zielony;187386;2014;K;23;Maryland
Dodge;Kombi;3.5;Zolty;378228;2015;M;61;Massachusetts
BMW;Cupe;1.5;Bialy;257593;2019;M;24;New York
BMW;Hatch-back;4.0;Zolty;379524;2008;K;30;New Jersey
Ford;Sedan;3.0;Zolty;62684;2011;M;45;Arkansas
BMW;Sedan;2.0;Niebieski;256779;2016;K;38;Hawaii
Mercedes;Kabriolet;1.5;Szary;125413;2010;K;38;Idaho
Chevrolet;Cupe;2.0;Czarny;117910;2017;M;52;New Mexico
Mercedes;Hatch-back;3.0;Czarny;389653;2017;K;36;New York
BMW;Sedan;2.5;Brazowy;32686;2017;K;52;Illinois
Volkswagen;Sedan;2.5;Niebieski;420123;2013;K;52;Mississippi
Chrysler;Sedan;2.0;Czarny;202050;2020;M;38;Alabama
Chevrolet;Kabriolet;2.0;Brazowy;224633;2008;K;52;Nevada
BMW;Minivan;2.5;Szary;440127;2009;M;31;New York
BMW;Kombi;1.5;Bialy;442152;2016;K;31;Louisiana
BMW;Kombi;2.0;Bialy;470423;2016;K;41;DC
Cadilac;Sedan;3.5;Zielony;385868;2018;K;44;Montana
Cadilac;Minivan;2.5;Rozowy;390291;2015;K;43;Vermont
Nissan;Cupe;4.5;Zielony;59807;2020;K;36;West Virginia
BMW;Kombi;1.5;Szary;143227;2014;K;24;Washington
Ford;Kombi;2.5;Rozowy;453157;2012;K;65;DC
Chevrolet;SUV;3.0;Zolty;376080;2017;K;52;Nevada
Chevrolet;Kabriolet;2.5;Fioletowy;361247;2009;M;28;Alabama
Audi;Kabriolet;3.0;Rozowy;403169;2016;K;63;Texas
Dodge;Minivan;2.5;Zolty;261067;2014;M;59;Louisiana
Mercedes;Minivan;3.0;Rozowy;199582;2016;M;63;Minnesota
Volkswagen;Hatch-back;2.0;Brazowy;93796;2017;K;36;Arkansas
Volkswagen;Sedan;4.0;Zolty;165731;2017;M;23;DC
BMW;Sedan;4.5;Rozowy;68817;2019;K;64;North Dakota
Nissan;Minivan;4.0;Niebieski;38084;2016;K;62;Colorado
Dodge;Hatch-back;2.0;Szary;379646;2016;M;22;Hawaii
Toyota;Minivan;4.0;Zolty;106256;2011;M;38;South Carolina
Toyota;Kombi;2.5;Zolty;38876;2014;M;26;Arkansas
Chrysler;Sedan;3.5;Rozowy;178595;2018;M;27;West Virginia
Audi;Sedan;5.0;Czarny;368861;2020;M;45;Arkansas
Mercedes;Kombi;2.0;Zielony;176519;2020;K;20;South Carolina
Cadilac;Kombi;3.0;Szary;98299;2019;K;62;California
Cadilac;Pick-up;2.5;Niebieski;169030;2017;K;62;New York
Audi;Kombi;3.5;Niebieski;118374;2014;M;32;Alabama
Chrysler;Hatch-back;3.5;Zolty;172731;2009;K;61;North Dakota
Honda;Sedan;4.5;Zolty;242093;2011;M;24;Pennsylvania
Toyota;Hatch-back;4.0;Czarny;261957;2011;K;70;West Virginia
Chevrolet;Sedan;4.0;Szary;407150;2016;M;32;New Jersey
Chevrolet;Pick-up;3.5;Szary;100222;2012;K;63;Maine
BMW;Pick-up;5.0;Fioletowy;163884;2020;M;62;Texas
Audi;Kabriolet;3.5;Brazowy;490704;2012;M;58;Louisiana
Honda;Minivan;2.5;Brazowy;165793;2018;K;58;New Jersey
Honda;Kombi;5.0;Zielony;484015;2020;K;41;Nevada
Toyota;Sedan;4.0;Zolty;338875;2020;M;37;Arizona
Chevrolet;SUV;2.0;Srebrny;271803;2008;M;52;Georgia
Audi;Kabriolet;4.0;Szary;136540;2016;M;23;DC
Toyota;Kombi;3.0;Niebieski;95128;2017;K;63;Wyoming
BMW;Hatch-back;1.5;Czerwony;88836;2008;M;67;North Dakota
Mercedes;Minivan;3.5;Zolty;281832;2009;M;27;Pennsylvania
Volkswagen;Hatch-back;3.5;Zolty;215833;2016;M;55;DC
Chevrolet;Kombi;5.0;Zolty;240689;2008;K;50;California
Cadilac;Sedan;2.0;Niebieski;257502;2011;M;55;Missouri
Volkswagen;Minivan;3.0;Srebrny;44728;2016;K;56;North Carolina
Honda;Sedan;3.5;Bialy;325774;2008;M;49;Arkansas
Mercedes;Hatch-back;4.5;Fioletowy;362327;2014;M;29;New Hampshire
Nissan;Minivan;4.5;Zielony;398383;2010;K;70;Rhode Island
Chrysler;SUV;3.0;Bialy;484173;2009;K;60;North Dakota
Ford;Sedan;2.5;Szary;39137;2014;K;33;Maryland
Audi;Kabriolet;4.0;Bialy;244962;2016;M;42;West Virginia
Ford;Kombi;5.0;Rozowy;397578;2013;M;63;Connecticut
Volkswagen;SUV;4.5;Rozowy;283638;2020;M;27;Utah
Toyota;Kombi;3.0;Srebrny;420785;2018;M;36;Tennessee
Ford;Sedan;4.5;Czerwony;464993;2009;K;47;Hawaii
Audi;Sedan;1.5;Czerwony;473301;2015;M;26;Wisconsin
Audi;Pick-up;3.5;Szary;305254;2009;K;49;Kansas
Chevrolet;Cupe;3.5;Zolty;334029;2013;K;26;West Virginia
Toyota;Cupe;3.5;Czarny;240634;2009;M;50;Nevada
Dodge;SUV;4.0;Srebrny;465760;2009;K;62;Washington
Nissan;Hatch-back;4.0;Niebieski;244115;2016;M;21;Nevada
Nissan;Kabriolet;5.0;Czarny;30444;2010;K;69;New Mexico
Chrysler;Pick-up;5.0;Czarny;439070;2014;M;56;Maryland
Mercedes;Cupe;2.0;Niebieski;253766;2020;M;26;North Dakota
Dodge;Sedan;2.5;Brazowy;194498;2010;K;38;Pennsylvania
Honda;SUV;4.5;Zielony;434653;2017;K;70;Idaho
Toyota;SUV;5.0;Czerwony;97794;2015;M;39;Nevada
Honda;Kabriolet;2.5;Brazowy;79910;2009;K;53;Alaska
Volkswagen;Cupe;1.5;Rozowy;61354;2017;M;31;Utah
Dodge;Minivan;3.0;Brazowy;113365;2010;K;22;Alabama
Chrysler;SUV;1.5;Czerwony;131479;2020;M;67;Nevada
Chevrolet;Kombi;1.5;Bialy;471246;2016;K;56;Michigan
Toyota;Hatch-back;3.5;Czerwony;74528;2016;K;32;Connecticut
Volkswagen;Hatch-back;4.5;Fioletowy;209483;2019;M;65;Maine
Mercedes;SUV;4.5;Niebieski;47902;2012;M;63;Connecticut
Volkswagen;Hatch-back;2.0;Niebieski;320535;2012;K;66;Ohio
Chrysler;SUV;2.0;Zielony;244051;2020;K;41;Nebraska
Cadilac;Hatch-back;4.5;Bialy;108324;2017;M;66;Missouri
Audi;Hatch-back;5.0;Czerwony;440175;2017;K;53;Louisiana
Cadilac;Sedan;4.5;Srebrny;72042;2014;M;60;Indiana
Toyota;Hatch-back;2.5;Szary;380921;2018;M;50;Illinois
Dodge;SUV;4.5;Niebieski;116611;2020;M;53;Oklahoma
Dodge;Pick-up;4.0;Czerwony;89829;2019;M;33;Arizona
BMW;Sedan;2.0;Czarny;331754;2012;M;46;California
Audi;Kabriolet;4.5;Czerwony;333755;2012;M;54;Mississippi
Mercedes;Cupe;3.5;Fioletowy;76276;2015;M;58;Arizona
Audi;Cupe;4.5;Zolty;105252;2018;M;53;Arizona
Dodge;Kombi;4.0;Niebieski;375121;2018;K;21;Oregon
Toyota;Kabriolet;4.5;Brazowy;450457;2018;M;35;Alaska
Ford;Sedan;4.0;Srebrny;359871;2008;K;29;Iowa
BMW;Minivan;5.0;Bialy;70350;2011;M;65;South Dakota
BMW;Cupe;4.5;Zielony;478927;2010;K;35;New Hampshire
Toyota;Cupe;3.5;Zielony;331690;2017;M;53;Oklahoma
BMW;Hatch-back;4.5;Szary;487711;2014;K;32;Georgia
Ford;Kombi;3.0;Zolty;393762;2010;K;63;North Carolina
Honda;SUV;3.0;Zolty;365094;2019;M;42;Wisconsin
Toyota;Cupe;4.0;Czerwony;297543;2011;K;56;California
Chevrolet;Sedan;5.0;Szary;274262;2009;K;63;New Jersey
Nissan;Minivan;5.0;Niebieski;170137;2009;K;68;Mississippi
Audi;Kombi;4.0;Fioletowy;494798;2014;K;24;South Dakota
Chrysler;Minivan;1.5;Niebieski;288340;2012;M;43;Louisiana
Nissan;Pick-up;5.0;Srebrny;52131;2015;M;70;South Carolina
Toyota;Cupe;3.0;Bialy;93829;2016;M;23;Tennessee
Cadilac;Minivan;2.0;Bialy;479093;2013;M;68;Minnesota
BMW;Sedan;4.0;Szary;159465;2010;K;66;Wisconsin
Volkswagen;Kabriolet;1.5;Zolty;105193;2015;M;51;Oklahoma
Dodge;Cupe;4.0;Brazowy;320290;2011;K;38;Massachusetts
Dodge;Kombi;3.0;Bialy;199167;2020;M;21;Georgia
Audi;Sedan;2.5;Niebieski;481577;2020;M;27;Nevada
Nissan;SUV;1.5;Rozowy;73261;2016;M;60;Connecticut
Nissan;Sedan;3.0;Niebieski;428861;2009;K;45;Idaho
BMW;Kabriolet;3.0;Rozowy;98401;2017;K;68;New Mexico
Mercedes;Pick-up;1.5;Bialy;359042;2020;K;70;Louisiana
Volkswagen;Cupe;4.5;Czarny;235603;2009;M;35;New Hampshire
Mercedes;Cupe;1.5;Brazowy;190604;2009;K;50;Pennsylvania
Dodge;Sedan;3.0;Zielony;416347;2008;M;26;Delaware
BMW;Hatch-back;2.0;Bialy;411307;2010;M;30;New Hampshire
Volkswagen;Sedan;3.5;Czarny;40724;2017;M;69;Maine
Audi;Sedan;2.5;Czerwony;331991;2020;M;55;Delaware
BMW;Kombi;3.0;Rozowy;291348;2011;K;43;Connecticut
Honda;Hatch-back;2.5;Czarny;93705;2012;K;21;Colorado
BMW;Pick-up;5.0;Brazowy;149751;2015;K;52;West Virginia
Chrysler;Kombi;3.0;Zolty;53030;2018;M;39;Hawaii
BMW;SUV;4.0;Srebrny;142940;2011;M;66;Colorado
Audi;Minivan;4.0;Szary;89045;2017;M;29;Colorado
Toyota;Sedan;3.5;Zolty;157842;2008;M;28;New York
Volkswagen;Cupe;1.5;Bialy;132696;2008;K;67;Kansas
Toyota;Pick-up;2.5;Zielony;257002;2011;M;61;DC
Toyota;Hatch-back;2.5;Niebieski;469734;2016;K;23;Colorado
Toyota;Kombi;3.5;Fioletowy;337994;2009;M;52;Pennsylvania
Audi;Hatch-back;2.5;Fioletowy;492132;2015;M;62;Texas
Audi;Kabriolet;2.5;Srebrny;131220;2015;K;41;Arizona
Chevrolet;Kabriolet;4.5;Brazowy;375506;2010;M;58;South Dakota
Mercedes;Kombi;3.5;Czerwony;193834;2017;M;29;Texas
Toyota;Pick-up;1.5;Srebrny;335523;2008;M;38;Florida
Toyota;Sedan;2.5;Zolty;245519;2019;M;41;Illinois
Ford;Pick-up;3.0;Srebrny;80935;2014;M;56;South Dakota
Mercedes;Pick-up;1.5;Bialy;437340;2019;K;26;Tennessee
Nissan;Sedan;4.0;Niebieski;457129;2012;M;62;Minnesota
Audi;Hatch-back;4.0;Zielony;207489;2010;K;42;Kentucky
Dodge;Kabriolet;4.0;Fioletowy;86281;2011;M;20;Minnesota
Cadilac;Kombi;5.0;Rozowy;438151;2016;M;50;North Dakota
Nissan;Sedan;4.0;Rozowy;267842;2017;K;69;Oregon
Volkswagen;Sedan;3.0;Brazowy;62422;2012;M;68;New York
Volkswagen;SUV;4.5;Czerwony;221911;2018;M;21;Ohio
Mercedes;Minivan;5.0;Szary;378568;2018;K;44;Indiana
Volkswagen;Sedan;2.0;Srebrny;315971;2012;M;62;Connecticut
Cadilac;SUV;3.0;Zolty;237122;2009;M;22;Pennsylvania
Audi;Sedan;1.5;Czarny;407882;2014;K;30;North Carolina
Chevrolet;Sedan;4.0;Bialy;375490;2015;K;47;Texas
Cadilac;SUV;4.5;Czerwony;233664;2018;M;37;Ohio
Ford;Sedan;4.0;Brazowy;256779;2008;M;69;Colorado
Cadilac;Minivan;2.5;Zielony;110041;2013;K;68;Nebraska
Honda;Sedan;1.5;Czerwony;374513;2009;M;48;Michigan
Honda;Cupe;3.0;Bialy;58838;2008;K;66;Minnesota
Volkswagen;Kabriolet;3.0;Bialy;54306;2017;K;40;California
Toyota;Minivan;1.5;Czarny;343330;2013;K;41;Arizona
Cadilac;Sedan;3.5;Srebrny;373119;2019;K;65;Georgia
BMW;Sedan;3.5;Rozowy;223555;2017;K;63;Iowa
Cadilac;Sedan;1.5;Szary;104366;2012;K;38;Colorado
Cadilac;Hatch-back;5.0;Rozowy;293449;2014;K;36;New York
Audi;Minivan;3.5;Czerwony;97739;2010;K;25;Nevada
Dodge;Kombi;4.0;Brazowy;406396;2008;M;44;Maryland
Dodge;Cupe;1.5;Zolty;164789;2012;K;50;Montana
Chevrolet;SUV;2.0;Fioletowy;470014;2020;K;48;Nevada
Dodge;Kombi;2.5;Brazowy;281741;2010;K;43;Florida
Chrysler;Sedan;5.0;Rozowy;320971;2012;K;62;Maine
Toyota;Sedan;1.5;Szary;131649;2008;M;63;Louisiana
Ford;Kabriolet;1.5;Niebieski;297283;2017;K;32;DC
Toyota;SUV;3.5;Czarny;181630;2019;K;44;Georgia
Mercedes;Minivan;1.5;Czarny;52470;2010;M;61;North Dakota
Dodge;Minivan;3.5;Fioletowy;64052;2017;K;41;Virginia
Ford;Sedan;3.5;Czarny;49330;2011;K;28;Utah
Mercedes;Sedan;1.5;Czarny;54497;2013;K;34;Oregon
Toyota;Sedan;2.5;Niebieski;408110;2014;K;68;Connecticut
Toyota;Cupe;3.5;Fioletowy;138630;2016;M;24;Texas
Mercedes;Sedan;1.5;Zolty;39862;2013;K;31;Oregon
Nissan;Kombi;4.0;Zolty;184925;2014;K;30;Florida
Nissan;Sedan;1.5;Zolty;257972;2010;K;46;Nebraska
Cadilac;Sedan;2.5;Szary;54727;2019;K;27;Alabama
Dodge;SUV;2.5;Szary;428194;2019;K;48;Kentucky
Nissan;Kombi;4.5;Zielony;492753;2018;M;30;Massachusetts
Ford;Cupe;2.5;Czerwony;194740;2016;K;68;North Carolina
Mercedes;Minivan;3.5;Brazowy;74786;2016;K;49;New Hampshire
